,F160W,F160W_error,F160W_nepoch,F555W,F555W_error,F555W_nepoch,F814W,F814W_error,F814W_nepoch,FinalAnalysisFlag,LogPeriod,Name,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,b,bp_g,bp_rp,dec,decSIMBAD,dec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_val,ebv,frame_rotator_object_type,g_rp,l,mWH,mWH_error,matched_observations,mean_varpi_factor_al,parallax,parallaxR16,parallaxR16_error,parallax_error,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_n_obs,phot_variable_flag,pmdec,pmdec_error,pmra,pmra_error,pmra_pmdec_corr,ra,raSIMBAD,ra_dec_corr,ra_error,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,source_id,visibility_periods_used
0,7.348,0.017,1,9.913,0.0289999999999999,1,8.542,0.025,1,0,1.053,AA GEM,xxx,186.381,0.0,0.0,1.98887,18.0,3.0,155.0,158.0,158.0,31.0,True,1.48422377856626,0.010306851302431,0.0487696,233.814,2.70072563831172,0.645729,1.40346,26.3292199013355,26.32922361111111,0.0408728606822708,-0.612203,-0.394853,-0.0732547,False,xxx,0.478143,0.0,0.757733,184.589560879497,6.871,0.023,20.0,0.110857,0.18780788545791,0.254,0.005,0.0530249969902337,3.54187,0.336949,0.281121,1267471.15649493,56625.4671786276,22.3834,10.094,20.0,1.26058,3133437.18023154,35604.747027329,88.0062,9.44831,167.0,0.0,2682475.33067587,82050.9630854066,32.6928,8.69058,19.0,VARIABLE,-0.875225349977818,0.0634700782344798,-0.0757529256036788,0.0772684942976469,0.128227,91.6456076721876,91.64560791666663,0.151465,0.0395496131030867,-0.069971,0.0915722,-0.219033,xxx,xxx,0.0,xxx,xxx,xxx,3.43007e+18,10.0
1,7.487999999999999,0.02,1,10.015,0.0279999999999999,1,8.675,0.023,1,0,1.133,AD PUP,xxx,493.786,0.0,0.0,4.99194,40.0,3.0,351.0,354.0,354.0,31.0,False,1.51461558640876,0.0066422045989576,0.0381785,264.299,-0.0303351237844209,0.742437,1.49026,-25.5777714352141,-25.577784166666667,0.027331056797164,0.304006,-0.395243,0.0682884,False,xxx,0.569621,0.0,0.747821,241.933369629068,7.023,0.024,41.0,-0.0610843,0.122720968067197,0.21,0.005,0.0388993478830562,3.15483,-0.120424,0.290113,932054.930987177,39293.5396690975,23.7203,10.4278,39.0,1.21833,2518881.07201912,29433.4839429597,85.5788,9.68535,363.0,0.0,2136769.6935134,55553.2942497289,38.4634,8.93753,40.0,VARIABLE,2.96630882642255,0.0534763689632609,-2.4962589881077,0.0548411441041719,-0.0962981,117.016035570563,117.01604708333332,0.0481816,0.0201940291246124,-0.0554645,-0.0126861,-0.354437,xxx,xxx,0.0,xxx,xxx,xxx,5.61431e+18,15.0
2,6.766,0.0069999999999999,3,8.984,0.02,2,7.854,0.009,2,0,0.99,AQ CAR,xxx,300.741,0.0,1.98023432827659e-15,4.26399,24.0,1.0,208.0,209.0,209.0,31.0,False,1.5495701351231,0.0079683127983999,0.0447449,224.211,-3.3048050534192,0.507387,1.1551,-61.0740759185009,-61.07409277777778,0.0297729375743687,0.106456,-0.333419,0.254501,False,xxx,0.667636,0.0,0.647717,285.772711611152,6.382000000000001,0.011,30.0,-0.0594976,0.286733325031121,0.35,0.0069999999999999,0.0301559289716635,9.50836,0.0483294,0.0931698,3169065.7447826,108501.017780122,29.2077,9.09906,28.0,1.23305,6897265.92699464,59987.4076969714,114.979,8.59167,249.0,0.0,5335625.98909711,103941.324312412,51.3331,7.94396,28.0,VARIABLE,3.93901071240695,0.0578225580488903,-6.37155569511466,0.0583348676139518,-0.0593071,155.345674900538,155.34573124999997,-0.225443,0.0285277973340187,0.0190473,0.231081,-0.389,-2.85256165924903,6.46816212269674,5.0,0.0,2.0,5750.0,5.25466e+18,16.0
3,5.487,0.013,4,8.867,0.018,2,7.12,0.0139999999999999,2,0,1.479,AQ PUP,xxx,548.466,0.0,0.0,8.46717,34.0,2.0,298.0,300.0,300.0,31.0,True,1.44051894181423,0.0074094890639367,0.0357121,118.258,0.106133432448565,0.96332,1.86937,-29.1300826258019,-29.130093055555555,0.0266898938542909,0.179028,-0.0605385,0.0890791,False,xxx,0.905203,0.0,0.906052,246.156144954627,4.864,0.016,37.0,-0.0129145,0.289989149842216,0.3379999999999999,0.0069999999999999,0.0342539414540892,8.46586,-0.0800549,0.201243,2614054.36362603,136497.866971291,19.1509,9.3081,36.0,1.2833,8658316.65825649,129527.453221308,66.8454,8.34478,317.0,0.0,8497201.43282546,316623.178582988,26.837,7.43873,37.0,VARIABLE,2.44342212261225,0.0521022273147518,-2.62730101151825,0.049422798674391,0.0799863,119.592023371191,119.59203625,0.165281,0.0223830935059951,0.0799769,0.0391206,0.0437083,70.0219019165913,6.51639677876811,15.0,0.0,4.5,4250.0,5.59738e+18,17.0
4,7.015,0.021,1,9.561,0.036,1,8.22,0.038,1,0,0.903,BK AUR,xxx,225.355,0.0,0.0,2.14758,21.0,0.0,187.0,187.0,187.0,31.0,True,1.50270256727183,0.007731043428815,0.052082,240.122,5.88997810920297,0.622903,1.42961,49.6876032836653,49.68761111111111,0.0336772141327406,-0.282199,-0.637544,-0.144221,False,xxx,0.487119,0.0,0.806708,158.984561369452,6.549,0.0289999999999999,25.0,0.0177244,0.330847469829259,0.369,0.008,0.0433464468034092,7.63263,0.0869962,-0.0711645,1735529.04666566,68527.3311143602,25.3261,9.75281,24.0,1.30867,4201304.69488095,45811.7078861101,91.7081,9.12991,214.0,0.0,3762607.47902142,100319.548067181,37.5062,8.3232,24.0,VARIABLE,-1.82486583903912,0.0640457278548834,0.17482719541285,0.0770983014848905,0.218163,77.6676237522768,77.6676225,0.0399913,0.0367702027453454,0.282839,-0.104731,-0.368425,xxx,xxx,0.0,xxx,xxx,xxx,2.61548e+17,12.0
5,7.198,0.015,1,10.051,0.033,1,8.505,0.017,1,0,1.136,BN PUP,xxx,490.304,0.0,0.0,6.9385,34.0,6.0,295.0,301.0,301.0,31.0,False,1.46447242192416,0.0061004756526516,0.036091,271.807,1.06542815854222,0.74734,1.54387,-30.0968707001066,-30.09688,0.0231629896025137,0.221873,-0.127849,0.0648039,False,xxx,0.731116,0.0,0.796529,247.896883734528,6.653,0.021,38.0,0.0149728,0.150709145934974,0.248,0.005,0.028481587734457,5.29146,-0.16762,0.118496,1002975.845051,54740.0851941165,18.3225,10.3482,36.0,1.25558,2722811.57191278,36092.4133922621,75.44,9.60082,319.0,0.0,2415743.17140755,79266.5987383143,30.4762,8.80429,35.0,VARIABLE,2.17269759952702,0.0483354859442909,-1.48062202584534,0.0406712678832951,0.212059,121.589471252854,121.58947833333332,0.195252,0.0184977283997098,-0.00149048,0.0301882,-0.231479,xxx,xxx,0.0,xxx,xxx,xxx,5.5966e+18,17.0
6,5.9,0.012,5,9.121,0.011,3,7.468,0.012,3,0,1.232,CD CYG,xxx,366.816,0.0,1.7508941244662401e-15,4.18745,30.0,2.0,265.0,267.0,267.0,31.0,True,1.43983169082028,0.0075066101882868,0.0377479,146.244,1.42976935968717,0.783015,1.73093,34.1122502906925,34.112274166666666,0.0256653982937316,0.289192,-0.286938,-0.0415096,False,xxx,2.86013,0.0,0.947917,71.0691559480641,5.314,0.0139999999999999,32.0,0.0399879,0.380757516785733,0.3979999999999999,0.008,0.0332442880080498,11.4533,-0.0964398,-0.194902,2357036.23945,148446.104200454,15.8781,9.42047,30.0,1.37643,6612468.73392553,97413.3128844567,67.8805,8.63746,280.0,0.0,6744536.53605759,285836.806569444,23.5958,7.68954,30.0,VARIABLE,-5.56186865513837,0.0485710895878387,-2.00112197638997,0.0543868986408727,-0.00603561,301.110661613061,301.11067166666663,-0.0616593,0.026117524062873,-0.0179556,0.0165366,-0.296871,xxx,xxx,0.0,xxx,xxx,xxx,2.05837e+18,16.0
7,6.871,0.022,1,10.757,0.015,1,8.638,0.052,1,0,1.252,CP CEP,0.892,340.66,0.0,0.0,5.36728,25.0,3.0,216.0,219.0,219.0,31.0,True,1.39278804611686,0.0075537156203134,0.037232,234.449,1.06763441772772,1.05739,2.00801,56.1638860920322,56.163899444444446,0.0276584185347758,0.122447,-0.336345,-0.198437,True,0.409,1.36285,0.0,0.95062,100.438389262538,6.105,0.03,41.0,0.128555,0.287722271448238,0.268,0.006,0.0316626039000076,9.08713,0.123697,-0.278555,608789.650040614,22146.9192978995,27.4887,10.8902,38.0,1.29937,2198949.77575831,20998.0622847018,104.722,9.83283,336.0,0.0,2248457.76088864,52206.4225131489,43.0686,8.88221,36.0,VARIABLE,-3.15126016737705,0.0514415658700816,-3.93345673550314,0.0497452840611294,-0.0169244,329.469516592662,329.46954666666664,0.145726,0.0271383093217831,0.426857,-0.098648,-0.395677,-30.0227529948152,10.9577778439554,5.0,0.0,3.5,5500.0,2.19816e+18,15.0
8,8.384,0.0139999999999999,1,11.75,0.019,1,9.973,0.018,1,0,0.989,CR CAR,xxx,584.276,0.0,1.85009569947886e-15,11.8713,28.0,13.0,232.0,245.0,245.0,31.0,True,1.44128201388621,0.0072678245382366,0.0363208,396.665,-0.371917148989823,0.841614,1.75115,-58.5209964246478,-58.52100833333333,0.0262270599785317,0.246296,-0.0535494,0.127789,False,xxx,1.17736,0.0,0.909533,285.667436888518,7.75,0.017,34.0,0.147743,0.201385950517329,0.187,0.004,0.0309010680900028,6.51712,-0.0073939,0.249884,243893.738567835,9333.60106615856,26.1307,11.8834,28.0,1.32227,722166.370986592,6804.79411454763,106.126,11.0418,275.0,0.0,711003.841155959,17595.8444653003,40.4075,10.1322,26.0,VARIABLE,2.76918951475067,0.0500302499273441,-5.8748450540477,0.049588760473011,0.0885259,158.225265175828,158.22531333333333,-0.0178009,0.0238223619325661,-0.212474,0.0640834,-0.152385,31.0605487876375,10.7679330203308,3.0,0.0,3.5,6000.0,5.35142e+18,17.0
9,8.106,0.025,1,12.052,0.012,1,9.953,0.02,1,0,1.141,CY AUR,xxx,832.886,0.135728007481139,6.69538751360772,19.2474,22.0,10.0,178.0,188.0,188.0,31.0,False,1.40053811437322,0.0120749941976118,0.0757671,42.6217,1.98049661816373,0.918464,1.96799,46.0925302229343,46.09253111111112,0.0549622766785594,-0.191054,-0.793689,-0.114594,False,xxx,0.946694,0.0,1.04953,160.532438566625,7.348,0.027,27.0,-0.0633243,0.162450664674126,0.179,0.004,0.0609631230259304,2.66474,0.310434,0.160358,204669.06816036,9489.59956193429,21.5677,12.0738,23.0,1.43469,650472.362751806,7361.57249675815,88.3605,11.1553,213.0,0.0,728554.230561952,22863.4377734412,31.8655,10.1058,23.0,VARIABLE,-0.231490110842341,0.0931708811789109,0.089314798904089,0.120923190676414,0.171253,74.4170035866395,74.41700291666666,0.124279,0.0602455291741485,0.00437553,-0.0927551,-0.553589,xxx,xxx,0.0,xxx,xxx,xxx,2.06577e+17,12.0
