designation,source_id,ra,dec,l,b,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved,type_best_classification,mode_best_classification
Gaia DR3 4658036828819820800,4658036828819820800,83.19373243902551,-69.37312762730657,279.862181366671,-32.158563796931006,-0.056150722533047204,0.023238804,-2.4162483,15.327039,1.58547,,-86.20563895220798,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658082866541725312,4658082866541725312,80.50821923585261,-69.37956965936988,280.0538217771751,-33.09055067424135,-0.028926653100682872,0.033990897,-0.8510118,16.015202,1.5438349,,-85.46710241066559,31,DCEP,FUNDAMENTAL
Gaia DR3 4658085134286940416,4658085134286940416,80.50173024058563,-69.2924993717773,279.9522065844523,-33.10899477415157,-0.025254792964616593,0.027987575,-0.9023573,15.664645,1.6086771,,-85.51316158956438,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658098882526211200,4658098882526211200,81.50939386387776,-69.30010252829786,279.8859238781711,-32.757042631922275,-0.2902289680230659,0.105670795,-2.746539,16.716436,1.584706,,-85.80139693095352,31,DCEP,FUNDAMENTAL
Gaia DR3 4659112490428308736,4659112490428308736,87.3415152359349,-68.08930805855725,278.1885195714042,-30.790409623481075,0.04565411278496655,0.035139162,1.2992375,16.216915,1.6074079,,-88.15999856133053,31,DCEP,FIRST_OVERTONE
Gaia DR3 4659148641176776320,4659148641176776320,88.6478523217208,-68.05915840669454,278.12622846165175,-30.30464833067072,0.03023533915836846,0.031604666,0.95667326,16.163088,1.5974768,,-88.41347136459265,31,DCEP,FIRST_OVERTONE
Gaia DR3 4659200112067611520,4659200112067611520,87.79748019200002,-67.8932811865575,277.9500570741755,-30.63044176816677,0.05947935771592946,0.043810062,1.3576643,16.251253,1.5845143,,-88.4182626994491,31,DCEP,FIRST_OVERTONE
Gaia DR3 4659202311090827008,4659202311090827008,87.7872314541341,-67.79175294569329,277.83242368524685,-30.63929272291132,0.051811637082011,0.029342808,1.7657355,15.578519,1.5232695,,-88.49947502362308,31,DCEP,FUNDAMENTAL
Gaia DR3 4659216158065166720,4659216158065166720,87.28715167417049,-67.77942939255078,277.8297060515173,-30.828745976588696,-0.06262878890059582,0.032886077,-1.9044166,16.046053,1.5555314,,-88.38995778596448,31,DCEP,FIRST_OVERTONE
Gaia DR3 4659219868917517824,4659219868917517824,87.10723224558978,-67.60655885136764,277.6332007890608,-30.906836027413906,0.001249956212012019,0.026485806,0.047193438,15.803908,1.5957139,,-88.46321676158777,31,DCEP,FIRST_OVERTONE
Gaia DR3 4659242649425919360,4659242649425919360,87.4028363387706,-67.60499329961816,277.6241024167094,-30.79447802188797,-0.08084121272233738,0.052304685,-1.5455827,16.975681,1.5804735,,-88.54650712096903,31,DCEP,FIRST_OVERTONE
Gaia DR3 4659251789115315968,4659251789115315968,87.26412757884015,-67.37174811640031,277.35613973555706,-30.85986758803444,-0.014662860902989634,0.03254037,-0.45060524,15.961374,1.5934253,,-88.6571858997915,31,DCEP,FIRST_OVERTONE
Gaia DR3 5355668435383918848,5355668435383918848,155.47319875985193,-54.51599248931427,282.27769393736384,2.2457342031171357,0.08624990161384928,0.03596703,2.3980267,16.319862,1.4990747,,-57.45146079227065,31,DCEP,FIRST_OVERTONE
Gaia DR3 5520935444020919296,5520935444020919296,122.93820288208265,-44.1721035271446,260.32580022302034,-5.657770805940982,0.09984887721095181,0.019931374,5.0096335,15.004108,1.3747624,,-61.493259049165054,31,DCEP,FUNDAMENTAL
Gaia DR3 2177659955093549440,2177659955093549440,323.87874107379304,55.63658721963055,97.69710268438918,2.6771152115802233,0.08087329304811335,0.018650662,4.336216,14.694858,1.2954866,,62.837090472633996,31,DCEP,FUNDAMENTAL
Gaia DR3 4650856605522867072,4650856605522867072,85.80075996498671,-72.46068949598082,283.3144173778396,-30.894855227815974,0.026802492126666008,0.074032344,0.3620376,17.54125,1.5705974,,-83.92329408368076,31,DCEP,FIRST_OVERTONE
Gaia DR3 4650924461692127232,4650924461692127232,83.7391993285825,-72.10614190738411,283.01107044467125,-31.56710265520831,-0.01093457377988847,0.045949224,-0.2379708,16.545681,1.5687426,,-84.03798053992352,31,DCEP,FIRST_OVERTONE
Gaia DR3 4650947345315606912,4650947345315606912,83.22669713150219,-71.74358484664532,282.62136305396143,-31.783283547495536,-5.745123275100288E-4,0.023179285,-0.024785593,15.26403,1.5086472,,-84.29202934368894,31,DCEP,FUNDAMENTAL
Gaia DR3 4050543838309676544,4050543838309676544,272.9271863242805,-29.016928059823233,2.774020199942967,-4.987773151850139,-0.012650708034595715,0.045442194,-0.27839124,15.6313505,1.4891201,,-5.6037758637276704,31,DCEP,FUNDAMENTAL
Gaia DR3 4077490291331290368,4077490291331290368,278.7557146392952,-24.0123232612156,9.653954772531097,-7.318020496782945,0.09196553425542628,0.023932286,3.842739,14.293804,1.5214071,,-0.8156739390127754,31,DCEP,FIRST_OVERTONE
Gaia DR3 4760493479751820416,4760493479751820416,80.3200209887303,-61.90226834107335,271.175467718617,-34.25782259167776,0.0037710725985775923,0.037015375,0.101878546,16.263008,1.5091506,,-83.7357361495153,31,DCEP,FUNDAMENTAL
Gaia DR3 5329984737098224384,5329984737098224384,132.2042933895158,-45.470908091070726,265.2410203918178,-1.1005934199139038,0.07333106217223585,0.02712611,2.7033389,15.744376,1.2694983,,-59.39538167055938,31,DCEP,FIRST_OVERTONE
Gaia DR3 5867251679452872192,5867251679452872192,211.28961749981335,-60.47905962348727,311.89559315987265,1.103338785499773,0.3152454451409572,0.01887061,16.705631,13.059448,1.2340467,,-44.15281938039808,31,DCEP,FUNDAMENTAL
Gaia DR3 4654644251272666624,4654644251272666624,74.59526256497492,-71.04244688950047,282.58469234588887,-34.62231511089629,3.5422675454551116E-4,0.016585892,0.021357113,14.679524,1.5227101,,-82.8850762103683,31,DCEP,FUNDAMENTAL
Gaia DR3 4654673182174377984,4654673182174377984,75.27399028689929,-70.82721991456735,282.25514949857484,-34.47466686995308,-0.03999418350657199,0.023188094,-1.7247725,15.453542,1.5748252,,-83.18655790754245,31,DCEP,FUNDAMENTAL
Gaia DR3 4654717540602482432,4654717540602482432,74.31912702387196,-70.78322269963685,282.31795011926965,-34.78743201190071,-0.0076958301959371735,0.026850728,-0.28661534,15.469486,1.584457,,-82.9376108264501,31,DCEP,FIRST_OVERTONE
Gaia DR3 5308026081150238976,5308026081150238976,146.293339679044,-54.87982207493006,278.23288991668494,-1.2009586378061632,0.18623565715883,0.023431541,7.9480753,14.853814,1.225295,,-61.335523222583305,31,DCEP,FUNDAMENTAL
Gaia DR3 4661264715713597952,4661264715713597952,77.24015121354643,-68.8497497138742,279.7269224110523,-34.34099837959929,-0.01252338021678447,0.026001042,-0.4816492,15.425317,1.54879,,-84.65857658303354,31,DCEP,FUNDAMENTAL
Gaia DR3 4661281144035975296,4661281144035975296,76.75884228085944,-68.71087776225339,279.61381426681635,-34.543314965221214,-0.002832377486611644,0.019714206,-0.1436719,14.608137,1.5430617,,-84.5361123470436,31,DCEP,FIRST_OVERTONE
Gaia DR3 4661290180649239296,4661290180649239296,76.8596469449975,-68.48710225270293,279.3393313681966,-34.56126965674011,-0.05003383048568637,0.024866316,-2.0121126,15.461313,1.4997807,,-84.63264989193858,31,DCEP,FUNDAMENTAL
Gaia DR3 4661301175767947648,4661301175767947648,75.45274529974336,-68.8456753842213,279.91848304402754,-34.96642511939542,-0.09857684364275919,0.07747455,-1.2723771,16.584627,1.5880648,,-84.04451283480836,31,DCEP,FIRST_OVERTONE
Gaia DR3 4661305638240330112,4661305638240330112,75.85450259745927,-68.77247188401533,279.7860009881335,-34.84540891554851,0.02473106609160481,0.014329154,1.7259265,14.169308,1.5235991,,-84.20411794137432,31,DCEP,FUNDAMENTAL
Gaia DR3 4661316392760970368,4661316392760970368,75.1753857790933,-68.69708618714968,279.77633211585606,-35.10286965498909,-0.002593863967186985,0.033450786,-0.07754269,16.31156,1.5512974,,-83.98508948599832,31,DCEP,FUNDAMENTAL
Gaia DR3 4661331274878423424,4661331274878423424,76.00029588031371,-68.64852660355126,279.62351902711816,-34.8259539390821,0.01152015215400112,0.020970076,0.54936147,15.084082,1.5223262,,-84.28780739151472,31,DCEP,FUNDAMENTAL
Gaia DR3 4661344469019023232,4661344469019023232,75.77590241437667,-68.36038381068869,279.30920975008337,-34.978726698302395,-0.011683167630488878,0.027228855,-0.42907307,15.915035,1.523835,,-84.27356052481265,31,DCEP,FUNDAMENTAL
Gaia DR3 4661345568530509568,4661345568530509568,75.62427671130261,-68.32553382710117,279.2855309450526,-35.04173165374969,-0.01355113011556568,0.03495532,-0.38767004,16.251661,1.5388042,,-84.22552321150377,31,DCEP,FUNDAMENTAL
Gaia DR3 4068688971240661248,4068688971240661248,267.92078653279793,-23.176653995467827,5.6379142795265444,1.8022452097580044,0.05813784016531646,0.06901623,0.8423792,16.711699,,1.2982873,0.2488328229280631,95,DCEP,FUNDAMENTAL
Gaia DR3 4110461793161580416,4110461793161580416,262.15092416811916,-24.61978453016212,1.616008485760044,5.517079666248801,0.05591463790659598,0.06552495,0.85333353,16.743338,1.3360443,,-1.3746634651399006,31,DCEP,FUNDAMENTAL
Gaia DR3 3027495856819349248,3027495856819349248,113.41167385314414,-16.317095424948825,232.22003837379032,1.6222445770022145,0.15575962481153557,0.017893817,8.704661,11.118481,1.3837354,,-37.45196030011101,31,DCEP,FUNDAMENTAL
Gaia DR3 4755854124808348800,4755854124808348800,89.29641929921716,-65.85443597499123,275.56964175934456,-30.097033020576866,0.0300516983083365,0.039921276,0.752774,16.452976,1.5943514,,-89.23882930269275,31,DCEP,FIRST_OVERTONE
Gaia DR3 4756021525454524416,4756021525454524416,88.55214715807159,-65.06814304133628,274.6617169565022,-30.41121719713108,-3.9200100844559785E-4,0.023776056,-0.016487218,15.541502,1.5332997,,-88.3939794967412,31,DCEP,FIRST_OVERTONE
Gaia DR3 4252368406036530688,4252368406036530688,281.9215095053351,-6.90671544848629,26.35554518604536,-2.3136694833915645,0.3722575039930927,0.020797612,17.89905,8.695228,1.4634948,,16.0241828926486,31,DCEP,FUNDAMENTAL
Gaia DR3 5332925862022788096,5332925862022788096,177.8047195750271,-63.97407404338129,296.3842494981099,-1.8705221592147168,0.36519299608914696,0.010935499,33.39518,12.746145,1.5244364,,-56.21509837379219,31,DCEP,FIRST_OVERTONE
Gaia DR3 2012643600728382208,2012643600728382208,356.18159284996756,61.2827312194569,115.00544913164909,-0.5581355192026064,0.33939052099296524,0.016544463,20.513844,11.855125,1.3018482,,54.82149064585384,31,DCEP,FUNDAMENTAL
Gaia DR3 4658618676559280896,4658618676559280896,82.72962162728263,-67.79232628340228,278.03591018471354,-32.54250757173292,0.20643006497742267,0.106789105,1.9330629,18.047333,1.5520955,,-86.92503512253818,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658628984502536320,4658628984502536320,81.94520124792759,-68.05897876414083,278.39855066270167,-32.79709198462982,-0.02762493042479425,0.021406878,-1.2904699,15.085125,1.5231841,,-86.55392719525899,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658692653094978816,4658692653094978816,80.59621482462907,-68.63611763583005,279.17384161971177,-33.19455064807349,0.0010120047082028227,0.02805551,0.036071513,15.839237,1.534702,,-85.86482593741833,31,DCEP,FUNDAMENTAL
Gaia DR3 5859105019918605824,5859105019918605824,200.14095624751943,-64.06181901297055,306.1108186641979,-1.3699868928366774,-0.0635413278447082,0.057905983,-1.0973189,16.887047,1.1961852,,-49.92046518635036,31,DCEP,FUNDAMENTAL
Gaia DR3 6328620193099415424,6328620193099415424,217.66883625533384,-9.0857511292506,339.9617059636659,46.527828899222364,0.03616811324360945,0.02245568,1.6106443,14.389853,1.5293292,,5.459863979175083,31,DCEP,FUNDAMENTAL
Gaia DR3 6055961925293088256,6055961925293088256,194.24429718081228,-60.71685240977334,303.6096959090045,2.1476076798745476,0.0012858589863821365,0.025716508,0.050001305,15.111789,1.2379217,,-48.7957799853344,31,DCEP,FIRST_OVERTONE
Gaia DR3 4657227721330891136,4657227721330891136,84.62486311949795,-70.09064864364508,280.6216639425301,-31.571634026784864,0.0014091906600920605,0.032885734,0.042851124,16.211103,,1.4297131,-85.9535215686468,95,DCEP,FUNDAMENTAL
Gaia DR3 4657229714206196096,4657229714206196096,84.25378428004697,-70.13372444232651,280.69087464026023,-31.691290821609986,0.005863594322790211,0.08280115,0.07081537,15.42807,1.518767,,-85.84917569513286,31,DCEP,FUNDAMENTAL
Gaia DR3 4657241190347945088,4657241190347945088,84.08966093193428,-70.11051331543045,280.67255500173286,-31.749686706521924,0.026539971608351903,0.022685144,1.1699274,15.511225,1.520597,,-85.83735008549301,31,DCEP,FUNDAMENTAL
Gaia DR3 4657244321453273600,4657244321453273600,83.98080519184514,-70.00807636848137,280.55903385605933,-31.800263392567878,-0.028032075224080185,0.021942932,-1.2774991,15.366676,1.5288386,,-85.89993890998635,31,DCEP,FIRST_OVERTONE
Gaia DR3 4657246520477281536,4657246520477281536,83.58159806055966,-70.00008698437762,280.57194477110926,-31.936566583313738,0.07993033197637482,0.043479443,1.8383477,16.527094,1.6014109,,-85.82482215204415,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658056894911529088,4658056894911529088,82.38390745962305,-69.2170700376956,279.72944852272497,-32.46474220246486,-0.018876814885516863,0.061120033,-0.30884826,17.243961,1.58111,,-86.09670603035995,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658058338020060800,4658058338020060800,82.13813076774028,-69.1303717297319,279.6439153222607,-32.56449211131298,-0.23419158656636005,0.046185907,-5.0706286,14.786831,1.4795934,,-86.08172551164806,31,DCEP,FUNDAMENTAL
Gaia DR3 4658066584362469504,4658066584362469504,81.38875027432445,-69.4956684092177,280.1236874122155,-32.765461008477374,-0.03916156031616722,0.027191091,-1.440235,15.544249,1.5421971,,-85.64871416023672,31,DCEP,FUNDAMENTAL
Gaia DR3 4658078094878154368,4658078094878154368,80.77005960041569,-69.50596518065117,280.1817092114381,-32.976821206739054,-0.020961096410847552,0.040956262,-0.5117922,16.120552,1.5691171,,-85.46989303646043,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658082046249896448,4658082046249896448,80.58720566306825,-69.39342197937638,280.0638982021287,-33.060652753486714,-0.07235185141779489,0.030122366,-2.4019313,15.856894,1.5430703,,-85.48235856918836,31,DCEP,FUNDAMENTAL
Gaia DR3 4658082763450092800,4658082763450092800,80.47748553785759,-69.3848277314563,280.0623995630724,-33.10020103441147,0.10583090770810022,0.032393184,3.2670732,15.5539465,1.5794162,,-85.45518640372804,31,DCEP,FUNDAMENTAL
Gaia DR3 4658109018650729856,4658109018650729856,81.34580702623144,-69.01559916892458,279.5639386808775,-32.86237215965906,0.007779354695995253,0.02319889,0.33533308,15.323123,1.5259849,,-85.91575865180337,31,DCEP,FUNDAMENTAL
Gaia DR3 3120780484897286784,3120780484897286784,97.92006531589902,1.3507017000104518,209.47143167946408,-3.7762493963990797,0.18038221009824906,0.024535399,7.351917,13.866316,1.3807968,,-21.8542205713048,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658921592046784128,4658921592046784128,79.01463521804551,-67.30714992208766,277.73507601935876,-34.02034162979447,0.011550616502568032,0.030872392,0.37414065,16.010973,1.5643467,,-85.63780339934462,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658950385509224960,4658950385509224960,79.95078775674186,-66.82384470797216,277.08408749780773,-33.74724478843571,-0.010168402409205355,0.023671893,-0.42955595,15.208269,1.5869126,,-86.01949504436935,31,DCEP,FIRST_OVERTONE
